login,combined_score,delivery_score,collaboration_score,full_stack_score,shipping_score,review_score,merged_prs,prs_opened_in_window,merge_rate_pct,open_prs_updated,median_cycle_days,commits_on_merged_prs,avg_commits_per_merged_pr,discussion_on_merged_prs,workflow_runs,additions,deletions,changed_files,review_events_on_others_prs,prs_with_close_keyword,linked_issue_refs,prs_touching_tests,test_files_touched,merge_check_runs_total,merge_check_success_pct,merge_check_failures,collab_issue_comments_others_after_open,collab_line_comments_others_after_open,collab_prs_with_teammate_after_open,collab_unique_partners_on_own_prs,collab_requested_reviewers_sum,collab_assignees_non_author_sum,rewarded_skills,revert_merges,draft_merges,max_changed_files_single_pr,open_wip_additions,open_wip_deletions,open_wip_churn,open_wip_files,open_wip_commits,open_wip_discussion,note
gantoine,103.301,31.784,26.19,161.275,29.001,74.3,26,31,83.9,4,0.7,212,8.15,248,0,24914,18184,537,86,0,0,12,19,5287,89.9,99,5,18,9,6,10,0,"testing in diff (12 PRs, 19 test files) · merge CI success ~89.9% (5287 checks sampled) · shipped completed units (merge + closure/tests signal) · collaboration (9 PRs w/ teammate input after open) · diverse partners on own PRs (~6 people)",0,0,335,2205,213,2418,34,22,9,~0.7d median time to merge; high iteration (commits/PR); strong review throughput; active WIP + shipping; tests/e2e in shipped diffs; pulls others in after open
webjunkie,98.532,33.881,27.859,160.272,64.232,34.3,62,66,93.9,11,0.29,373,6.02,540,1,22926,4806,768,46,0,0,18,158,12318,90.1,253,5,47,9,6,10,0,"testing in diff (18 PRs, 158 test files) · merge CI success ~90.1% (12318 checks sampled) · shipped completed units (merge + closure/tests signal) · collaboration (9 PRs w/ teammate input after open) · diverse partners on own PRs (~6 people)",3,0,155,9760,626,10386,255,54,83,~0.29d median time to merge; high iteration (commits/PR); strong review throughput; active WIP + shipping; tests/e2e in shipped diffs; high green rate on merge CI; pulls others in after open
MattPua,83.037,39.839,29.031,151.907,53.687,29.35,70,82,85.4,3,0.72,284,4.06,401,0,13754,2730,490,30,3,3,34,55,14122,89.7,220,5,19,10,9,13,0,"issue closure (3 PRs w/ close keywords) · end-to-end ownership (many linked issues) · testing in diff (34 PRs, 55 test files) · merge CI success ~89.7% (14122 checks sampled) · shipped completed units (merge + closure/tests signal) · collaboration (10 PRs w/ teammate input after open) · diverse partners on own PRs (~9 people)",0,0,49,1180,266,1446,34,12,17,~0.72d median time to merge; high iteration (commits/PR); strong review throughput; active WIP + shipping; closes tracked work (issues); tests/e2e in shipped diffs; pulls others in after open; broad collaboration network
haacked,85.497,32.959,31.864,150.32,51.247,34.25,50,52,96.2,1,0.7,166,3.32,607,0,16687,10175,309,44,0,0,28,63,10919,90.0,140,6,30,16,8,5,0,"testing in diff (28 PRs, 63 test files) · merge CI success ~90.0% (10919 checks sampled) · shipped completed units (merge + closure/tests signal) · collaboration (16 PRs w/ teammate input after open) · diverse partners on own PRs (~8 people)",1,0,34,294,53,347,3,6,39,~0.7d median time to merge; strong review throughput; active WIP + shipping; tests/e2e in shipped diffs; high green rate on merge CI; pulls others in after open; broad collaboration network
rafaeelaudibert,82.444,20.677,33.736,136.857,21.794,60.65,22,25,88.0,3,0.07,68,3.09,218,98,9171,4701,337,73,0,0,5,11,4492,89.1,66,4,37,11,9,35,1,"testing in diff (5 PRs, 11 test files) · merge CI success ~89.1% (4492 checks sampled) · shipped completed units (merge + closure/tests signal) · collaboration (11 PRs w/ teammate input after open) · diverse partners on own PRs (~9 people)",0,0,157,2471,2423,4894,178,17,66,~0.07d median time to merge; strong review throughput; frequent CI activity; active WIP + shipping; tests/e2e in shipped diffs; pulls others in after open; broad collaboration network
sampennington,77.057,34.766,22.622,134.445,35.257,41.8,41,55,74.5,5,0.27,236,5.76,258,0,10672,2463,201,47,1,1,24,38,8238,89.6,116,4,21,8,5,2,0,"issue closure (1 PRs w/ close keywords) · testing in diff (24 PRs, 38 test files) · merge CI success ~89.6% (8238 checks sampled) · shipped completed units (merge + closure/tests signal) · collaboration (8 PRs w/ teammate input after open) · diverse partners on own PRs (~5 people)",0,0,29,2512,154,2666,79,22,31,~0.27d median time to merge; high iteration (commits/PR); strong review throughput; active WIP + shipping; tests/e2e in shipped diffs; pulls others in after open
dmarticus,66.713,39.928,26.27,132.911,39.663,27.05,34,36,94.4,3,1.05,362,10.65,340,109,10502,3034,309,29,3,3,22,68,7258,88.7,149,0,64,19,4,1,0,"issue closure (3 PRs w/ close keywords) · end-to-end ownership (many linked issues) · testing in diff (22 PRs, 68 test files) · merge CI success ~88.7% (7258 checks sampled) · shipped completed units (merge + closure/tests signal) · collaboration (19 PRs w/ teammate input after open)",0,0,50,2110,282,2392,30,38,50,~1.05d median time to merge; high iteration (commits/PR); strong review throughput; frequent CI activity; active WIP + shipping; closes tracked work (issues); tests/e2e in shipped diffs; pulls others in after open
Gilbert09,82.092,32.107,18.676,132.875,21.642,60.45,22,25,88.0,4,0.68,95,4.32,190,0,6662,704,157,65,0,0,14,28,4483,89.5,57,0,24,9,3,0,0,"testing in diff (14 PRs, 28 test files) · merge CI success ~89.5% (4483 checks sampled) · shipped completed units (merge + closure/tests signal) · collaboration (9 PRs w/ teammate input after open)",0,0,38,271,38,309,13,14,23,~0.68d median time to merge; high iteration (commits/PR); strong review throughput; active WIP + shipping; tests/e2e in shipped diffs; pulls others in after open
sakce,58.836,32.563,31.2,122.599,37.436,21.4,41,45,91.1,9,0.94,67,1.63,312,0,9349,4353,212,24,0,0,18,47,8459,89.1,110,5,28,15,9,3,0,"testing in diff (18 PRs, 47 test files) · merge CI success ~89.1% (8459 checks sampled) · shipped completed units (merge + closure/tests signal) · collaboration (15 PRs w/ teammate input after open) · diverse partners on own PRs (~9 people)",0,0,34,4233,1998,6231,75,23,40,~0.94d median time to merge; strong review throughput; active WIP + shipping; tests/e2e in shipped diffs; pulls others in after open; broad collaboration network
thmsobrmlr,67.256,32.586,15.235,115.077,26.156,41.1,33,47,70.2,9,0.49,170,5.15,192,0,8210,3784,208,45,0,0,21,41,6667,90.4,73,2,28,2,4,1,0,"testing in diff (21 PRs, 41 test files) · merge CI success ~90.4% (6667 checks sampled) · shipped completed units (merge + closure/tests signal) · collaboration (2 PRs w/ teammate input after open)",1,0,51,1988,2649,4637,44,27,33,~0.49d median time to merge; high iteration (commits/PR); strong review throughput; active WIP + shipping; tests/e2e in shipped diffs; high green rate on merge CI
